drug_brand,drug_generic,active_ingredient,fda_application_number,modality,original_approval_date,clock_year,orphan_status,ira_cycle,mfp_usd,part_d_spend_latest_usd,part_b_spend_latest_usd,spend_year,source_urls,indication_event_date,years_after_launch,indication_text,is_after_clock,event_app_number
Breo Ellipta,fluticasone furoate/vilanterol,FLUTICASONE FUROATE; VILANTEROL,NDA204275,small molecule,2013-05-10,9.0,none,2.0,67.0,1373600714.1,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json,2015-04-30,1.97,"1 INDICATIONS AND USAGE BREO ELLIPTA is a combination of fluticasone furoate, a corticosteroid, and vilanterol, a long-acting beta 2 -adrenergic agonist (LABA), indicated for: • the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). ( 1.1 ) • the maintenance treatment of asthma in patients aged 5 years and older. ( 1.2 ) Limitations of Use: Not indicated for relief of acute bronchospasm. ( 1.3 , 5.2 ) 1.1 Maintenance Treatment of Chronic Obstructive Pulmonary Disease BREO ELLIPTA is indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). 1.2 Maintenance Treatment of Asthma BREO ELLIPTA is indicated for the maintenance treatment of asthma in patients aged 5 years and older. 1.3 Limitations of Use BREO ELLIPTA is NOT indicated for the relief of acute bronchospasm.",False,NDA204275
Breo Ellipta,fluticasone furoate/vilanterol,FLUTICASONE FUROATE; VILANTEROL,NDA204275,small molecule,2013-05-10,9.0,none,2.0,67.0,1373600714.1,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json,2017-05-15,4.01,"1 INDICATIONS AND USAGE BREO ELLIPTA is a combination of fluticasone furoate, a corticosteroid, and vilanterol, a long-acting beta 2 -adrenergic agonist (LABA), indicated for: • the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). ( 1.1 ) • the maintenance treatment of asthma in patients aged 5 years and older. ( 1.2 ) Limitations of Use: Not indicated for relief of acute bronchospasm. ( 1.3 , 5.2 ) 1.1 Maintenance Treatment of Chronic Obstructive Pulmonary Disease BREO ELLIPTA is indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). 1.2 Maintenance Treatment of Asthma BREO ELLIPTA is indicated for the maintenance treatment of asthma in patients aged 5 years and older. 1.3 Limitations of Use BREO ELLIPTA is NOT indicated for the relief of acute bronchospasm.",False,NDA204275
Breo Ellipta,fluticasone furoate/vilanterol,FLUTICASONE FUROATE; VILANTEROL,NDA204275,small molecule,2013-05-10,9.0,none,2.0,67.0,1373600714.1,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json,2023-05-12,10.0,"1 INDICATIONS AND USAGE BREO ELLIPTA is a combination of fluticasone furoate, a corticosteroid, and vilanterol, a long-acting beta 2 -adrenergic agonist (LABA), indicated for: • the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). ( 1.1 ) • the maintenance treatment of asthma in patients aged 5 years and older. ( 1.2 ) Limitations of Use: Not indicated for relief of acute bronchospasm. ( 1.3 , 5.2 ) 1.1 Maintenance Treatment of Chronic Obstructive Pulmonary Disease BREO ELLIPTA is indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). 1.2 Maintenance Treatment of Asthma BREO ELLIPTA is indicated for the maintenance treatment of asthma in patients aged 5 years and older. 1.3 Limitations of Use BREO ELLIPTA is NOT indicated for the relief of acute bronchospasm.",True,NDA204275
Xifaxan,rifaximin,RIFAXIMIN,NDA021361,small molecule,2004-05-25,9.0,orphan_approved,2.0,1000.0,1090110101.4,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json,2015-05-27,11.0,"1 INDICATIONS AND USAGE To reduce the development of drug-resistant bacteria and maintain the effectiveness of XIFAXAN and other antibacterial drugs, XIFAXAN when used to treat infection should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. XIFAXAN is a rifamycin antibacterial indicated for: • Treatment of travelers’ diarrhea (TD) caused by noninvasive strains of Escherichia coli in adult and pediatric patients 12 years of age and older. ( 1.1 ) • Reduction in risk of overt hepatic encephalopathy (HE) recurrence in adults. ( 1.2 ) • Treatment of irritable bowel syndrome with diarrhea (IBS-D) in adults. ( 1.3 ) Limitations of Use TD: Should not use in patients with diarrhea complicated by fever or blood in the stool or diarrhea due to pathogens other than Escherichia coli. ( 1.1, 5.1 ) 1.1 Travelers’ Diarrhea XIFAXAN is indicated for the treatment of tra",True,NDA021361
Vraylar,cariprazine,CARIPRAZINE,NDA204370,small molecule,2015-09-17,9.0,none,2.0,770.0,935653082.16,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json,2017-11-09,2.15,1 . INDICATIONS AND USAGE VRAYLAR ® is indicated for: • Treatment of schizophrenia in adult and pediatric patients 13 years of age and older [see Clinical Studies ( 14.1 )] • Acute treatment of manic or mixed episodes associated with bipolar I disorder in adult and pediatric patients 10 years of age and older [see Clinical Studies ( 14.2 )] • Treatment of depressive episodes associated with bipolar I disorder (bipolar depression) in adult patients [see Clinical Studies ( 14.3 )] • Adjunctive therapy to antidepressants for the treatment of major depressive disorder (MDD) in adult patients [see Clinical Studies ( 14.4 )] VRAYLAR is an atypical antipsychotic indicated for: Treatment of schizophrenia in adults and pediatric patients 13 years of age and older ( 1 ) Acute treatment of manic or mixed episodes associated with bipolar I disorder in adults and pediatric patients 10 years of age and older ( 1 ) Treatment of depressive episodes associated with bipolar I disorder (bipolar depression) in adults ( 1 ) Adjunctive therapy to antidepressants for the treatment of major depressive disorder (MDD) in adults ( 1 ),False,NDA204370
Vraylar,cariprazine,CARIPRAZINE,NDA204370,small molecule,2015-09-17,9.0,none,2.0,770.0,935653082.16,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json,2019-05-24,3.68,1 . INDICATIONS AND USAGE VRAYLAR ® is indicated for: • Treatment of schizophrenia in adult and pediatric patients 13 years of age and older [see Clinical Studies ( 14.1 )] • Acute treatment of manic or mixed episodes associated with bipolar I disorder in adult and pediatric patients 10 years of age and older [see Clinical Studies ( 14.2 )] • Treatment of depressive episodes associated with bipolar I disorder (bipolar depression) in adult patients [see Clinical Studies ( 14.3 )] • Adjunctive therapy to antidepressants for the treatment of major depressive disorder (MDD) in adult patients [see Clinical Studies ( 14.4 )] VRAYLAR is an atypical antipsychotic indicated for: Treatment of schizophrenia in adults and pediatric patients 13 years of age and older ( 1 ) Acute treatment of manic or mixed episodes associated with bipolar I disorder in adults and pediatric patients 10 years of age and older ( 1 ) Treatment of depressive episodes associated with bipolar I disorder (bipolar depression) in adults ( 1 ) Adjunctive therapy to antidepressants for the treatment of major depressive disorder (MDD) in adults ( 1 ),False,NDA204370
Vraylar,cariprazine,CARIPRAZINE,NDA204370,small molecule,2015-09-17,9.0,none,2.0,770.0,935653082.16,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json,2022-12-16,7.25,1 . INDICATIONS AND USAGE VRAYLAR ® is indicated for: • Treatment of schizophrenia in adult and pediatric patients 13 years of age and older [see Clinical Studies ( 14.1 )] • Acute treatment of manic or mixed episodes associated with bipolar I disorder in adult and pediatric patients 10 years of age and older [see Clinical Studies ( 14.2 )] • Treatment of depressive episodes associated with bipolar I disorder (bipolar depression) in adult patients [see Clinical Studies ( 14.3 )] • Adjunctive therapy to antidepressants for the treatment of major depressive disorder (MDD) in adult patients [see Clinical Studies ( 14.4 )] VRAYLAR is an atypical antipsychotic indicated for: Treatment of schizophrenia in adults and pediatric patients 13 years of age and older ( 1 ) Acute treatment of manic or mixed episodes associated with bipolar I disorder in adults and pediatric patients 10 years of age and older ( 1 ) Treatment of depressive episodes associated with bipolar I disorder (bipolar depression) in adults ( 1 ) Adjunctive therapy to antidepressants for the treatment of major depressive disorder (MDD) in adults ( 1 ),False,NDA204370
Vraylar,cariprazine,CARIPRAZINE,NDA204370,small molecule,2015-09-17,9.0,none,2.0,770.0,935653082.16,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json,2025-12-18,10.25,1 . INDICATIONS AND USAGE VRAYLAR ® is indicated for: • Treatment of schizophrenia in adult and pediatric patients 13 years of age and older [see Clinical Studies ( 14.1 )] • Acute treatment of manic or mixed episodes associated with bipolar I disorder in adult and pediatric patients 10 years of age and older [see Clinical Studies ( 14.2 )] • Treatment of depressive episodes associated with bipolar I disorder (bipolar depression) in adult patients [see Clinical Studies ( 14.3 )] • Adjunctive therapy to antidepressants for the treatment of major depressive disorder (MDD) in adult patients [see Clinical Studies ( 14.4 )] VRAYLAR is an atypical antipsychotic indicated for: Treatment of schizophrenia in adults and pediatric patients 13 years of age and older ( 1 ) Acute treatment of manic or mixed episodes associated with bipolar I disorder in adults and pediatric patients 10 years of age and older ( 1 ) Treatment of depressive episodes associated with bipolar I disorder (bipolar depression) in adults ( 1 ) Adjunctive therapy to antidepressants for the treatment of major depressive disorder (MDD) in adults ( 1 ),True,NDA204370
Tradjenta,linagliptin,LINAGLIPTIN,NDA201280,small molecule,2011-05-02,9.0,none,2.0,78.0,1293567778.3,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json,2012-05-22,1.06,1 INDICATIONS AND USAGE TRADJENTA is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus . TRADJENTA is a dipeptidyl peptidase-4 (DPP-4) inhibitor indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus ( 1 ) Limitations of Use Not recommended in patients with type 1 diabetes mellitus as it would not be effective ( 1 ) Has not been studied in patients with a history of pancreatitis ( 1 ) Limitations of Use TRADJENTA is not recommended in patients with type 1 diabetes mellitus as it would not be effective. TRADJENTA has not been studied in patients with a history of pancreatitis. It is unknown whether patients with a history of pancreatitis are at an increased risk for the development of pancreatitis while using TRADJENTA [see Warnings and Precautions (5.1) ].,False,NDA201280
Tradjenta,linagliptin,LINAGLIPTIN,NDA201280,small molecule,2011-05-02,9.0,none,2.0,78.0,1293567778.3,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json,2012-08-13,1.28,1 INDICATIONS AND USAGE TRADJENTA is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus . TRADJENTA is a dipeptidyl peptidase-4 (DPP-4) inhibitor indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus ( 1 ) Limitations of Use Not recommended in patients with type 1 diabetes mellitus as it would not be effective ( 1 ) Has not been studied in patients with a history of pancreatitis ( 1 ) Limitations of Use TRADJENTA is not recommended in patients with type 1 diabetes mellitus as it would not be effective. TRADJENTA has not been studied in patients with a history of pancreatitis. It is unknown whether patients with a history of pancreatitis are at an increased risk for the development of pancreatitis while using TRADJENTA [see Warnings and Precautions (5.1) ].,False,NDA201280
Tradjenta,linagliptin,LINAGLIPTIN,NDA201280,small molecule,2011-05-02,9.0,none,2.0,78.0,1293567778.3,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json,2012-09-28,1.41,1 INDICATIONS AND USAGE TRADJENTA is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus . TRADJENTA is a dipeptidyl peptidase-4 (DPP-4) inhibitor indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus ( 1 ) Limitations of Use Not recommended in patients with type 1 diabetes mellitus as it would not be effective ( 1 ) Has not been studied in patients with a history of pancreatitis ( 1 ) Limitations of Use TRADJENTA is not recommended in patients with type 1 diabetes mellitus as it would not be effective. TRADJENTA has not been studied in patients with a history of pancreatitis. It is unknown whether patients with a history of pancreatitis are at an increased risk for the development of pancreatitis while using TRADJENTA [see Warnings and Precautions (5.1) ].,False,NDA201280
Tradjenta,linagliptin,LINAGLIPTIN,NDA201280,small molecule,2011-05-02,9.0,none,2.0,78.0,1293567778.3,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json,2013-09-05,2.35,1 INDICATIONS AND USAGE TRADJENTA is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus . TRADJENTA is a dipeptidyl peptidase-4 (DPP-4) inhibitor indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus ( 1 ) Limitations of Use Not recommended in patients with type 1 diabetes mellitus as it would not be effective ( 1 ) Has not been studied in patients with a history of pancreatitis ( 1 ) Limitations of Use TRADJENTA is not recommended in patients with type 1 diabetes mellitus as it would not be effective. TRADJENTA has not been studied in patients with a history of pancreatitis. It is unknown whether patients with a history of pancreatitis are at an increased risk for the development of pancreatitis while using TRADJENTA [see Warnings and Precautions (5.1) ].,False,NDA201281
